eventID,time_start,time_end,Duration,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Invention,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,Wars,World,diffCat,NumYearStart,NumYearEnd
107,849,1297,448,Pagan Empire,,Pagan Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,849,1297
108,867,1002,135,Saffarid dynasty,,Saffarid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,867,1002
109,879,1240,361,Kievan Rus',,Kievan Rus',,10,,,,,,,,,,,,,,,,,,,,,,H,879,1240
110,900,1587,687,Tondo dynasty,,Tondo dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,900,1587
111,900,1100,200,Pala dynasty,,Pala dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,900,1100
112,909,1171,262,Fatimid Caliphate,,Fatimid Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,909,1171
113,915,1125,210,Liao dynasty,,Liao dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,915,1125
114,918,1392,474,Goryeo,,Goryeo,,10,,,,,,,,,,,,,,,,,,,,,,H,918,1392
115,934,1055,121,Buyid dynasty,,Buyid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,934,1055
116,950,1865,915,Tu'i Tonga Empire,,Tu'i Tonga Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,950,1865
117,960,1279,319,Song dynasty,,Song dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,960,1279
118,962,1806,844,Holy Roman Empire,,Holy Roman Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,962,1806
119,963,1187,224,Ghaznavid dynasty,,Ghaznavid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,963,1187
120,972,1148,176,Zirids,,Zirids,,10,,,,,,,,,,,,,,,,,,,,,,H,972,1148
121,973,1189,216,Western Chalukya Empire,,Western Chalukya Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,973,1189
122,1016,1035,19,North Sea Empire,,North Sea Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1016,1035
123,1026,1343,317,Hoysala Empire,,Hoysala Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1026,1343
124,1037,1194,157,Seljuq Empire,,Seljuq Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1037,1194
125,1038,1227,189,Western Xia dynasty,,Western Xia dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1038,1227
126,1040,1147,107,Almoravid dynasty,,Almoravid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1040,1147
127,1076,1253,177,Uyunid Emirate,,Uyunid Emirate,,10,,,,,,,,,,,,,,,,,,,,,,H,1076,1253
128,1077,1221,144,Khwarazmian dynasty,,Khwarazmian dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1077,1221
129,1096,1797,701,Republic of Genoa,,Republic of Genoa,,10,,,,,,,,,,,,,,,,,,,,,,H,1096,1797
130,1100,1628,528,Saudeleur dynasty,,Saudeleur dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1100,1628
131,1115,1234,119,Jin dynasty (1115 1234),,Jin dynasty (1115 1234),,10,,,,,,,,,,,,,,,,,,,,,,H,1115,1234
132,1121,1269,148,Almohad Caliphate,,Almohad Caliphate,,10,,,,,,,,,,,,,,,,,,,,,,H,1121,1269
133,1137,1974,837,Abyssinia,,Abyssinia,,10,,,,,,,,,,,,,,,,,,,,,,H,1137,1974
134,1148,1215,67,Ghurid dynasty,,Ghurid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1148,1215
135,1154,1242,88,Angevin Empire,,Angevin Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1154,1242
136,1171,1260,89,Ayyubid dynasty,,Ayyubid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1171,1260
137,1185,1422,237,Second Bulgarian Empire,,Second Bulgarian Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1185,1422
138,1204,1461,257,Empire of Trebizond,,Empire of Trebizond,,10,,,,,,,,,,,,,,,,,,,,,,H,1204,1461
139,1204,1261,57,Empire of Nicaea,,Empire of Nicaea,,10,,,,,,,,,,,,,,,,,,,,,,H,1204,1261
140,1204,1261,57,Latin Empire,,Latin Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1204,1261
141,1206,1527,321,Delhi Sultanate,,Delhi Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1206,1527
142,1206,1368,162,Mongol Empire,,Mongol Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1206,1368
143,1222,1292,70,Singhasari,,Singhasari,,10,,,,,,,,,,,,,,,,,,,,,,H,1222,1292
144,1224,1246,22,Empire of Thessalonica,,Empire of Thessalonica,,10,,,,,,,,,,,,,,,,,,,,,,H,1224,1246
145,1225,1687,462,Chagatai Khanate,,Chagatai Khanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1225,1687
146,1228,1574,346,Hafsid Kingdom,,Hafsid Kingdom,,10,,,,,,,,,,,,,,,,,,,,,,H,1228,1574
147,1228,1838,610,Ahom Dynasty,,Ahom Dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1228,1838
148,1235,1610,375,Mali Empire,,Mali Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1235,1610
149,1235,1556,321,Tlemcen,,Tlemcen,,10,,,,,,,,,,,,,,,,,,,,,,H,1235,1556
150,1240,1502,262,Golden Horde,,Golden Horde,,10,,,,,,,,,,,,,,,,,,,,,,H,1240,1502
151,1244,1465,221,Marinid dynasty,,Marinid dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1244,1465
152,1250,1517,267,Mamluk Sultanate,,Mamluk Sultanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1250,1517
153,1256,1335,79,Ilkhanate,,Ilkhanate,,10,,,,,,,,,,,,,,,,,,,,,,H,1256,1335
154,1258,1914,657,Sultanate of Ternate,,Sultanate of Ternate,,10,,,,,,,,,,,,,,,,,,,,,,H,1258,1914
155,1271,1368,97,Yuan dynasty,,Yuan dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1271,1368
156,1274,1967,693,Sultanate of Tidore,,Sultanate of Tidore,,10,,,,,,,,,,,,,,,,,,,,,,H,1274,1967
157,1279,1565,286,Cebu Rajahnate,,Cebu Rajahnate,,10,,,,,,,,,,,,,,,,,,,,,,H,1279,1565
158,1290,1320,30,Khilji dynasty,,Khilji dynasty,,10,,,,,,,,,,,,,,,,,,,,,,H,1290,1320
159,1293,1527,234,Majapahit Empire,,Majapahit Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1293,1527
160,1299,1922,623,Ottoman Empire,,Ottoman Empire,,10,,,,,,,,,,,,,,,,,,,,,,H,1299,1922
